minutes,vcd,gln,gluc,do_50,product
230.3999999999999,,,,30.54999923706055,
1411.2,,,,30,
2880,,,,29.975000381469727,
4334.4,0.849,1.377694,6.619083,29.975000381469727,
5760,1.6300000000000001,0.139767,4.914677999999999,29.95000076293945,0.5158386
7185.6,2.5100000000000002,0.4288501,4.178338,29.92499923706055,0.8916511
8596.8,3.1100000000000003,0.2391365,2.947076,30,1.431271
10065.599999999999,3.15,0.466277,1.925559,29.975000381469727,1.822865
11635.2,3.44,1.1883679999999999,1.150426,30.04999923706055,2.43377
12960,,,,30,
14385.599999999999,3.07,2.115879,,30.024999618530266,2.92698
14443.199999999999,,,,30.024999618530266,
15854.400000000001,2.88,1.458529,,30.024999618530266,3.056857
17280,,,,30.024999618530266,
18619.2,2.83,1.8177349999999999,,30.225000381469727,3.554938
18763.199999999997,,,,30.225000381469727,3.447586
