minutes,volume,vcd,glutamin,glucose,DO,c_O2,oxygen,product
3398.0,46.619791666667034,1.6416425283972045,6.680352383467767,10.675185319666847,77.81821364419869,0.00026146919784450755,0.0,0.3219861132311581
3400.0,46.626041666667035,1.6425958910268503,6.68006926865234,10.674800912843839,77.81238928866756,0.000261449628009923,0.0,0.3222713543409916
3402.0,46.63229166666704,1.6435498119379912,6.679785996840414,10.674415441142774,77.8065585891893,0.000261430036859676,0.0,0.3225567537239628
3404.0,46.63854166666704,1.6445042914223684,6.6795025679337305,10.674028904182748,77.80072154320288,0.0002614104243851617,0.0,0.3228423114792383
3406.0,46.64479166666704,1.6454593297718145,6.6792189818339835,10.673641301582549,77.79487814814526,0.00026139079057776803,0.0,0.3231280277060347
3408.0,46.65104166666704,1.6464149272782531,6.678935238442816,10.67325263296066,77.7890284014512,0.00026137113542887606,0.0,0.32341390250361873
3410.0,46.65729166666704,1.6473710842336988,6.6786513376618215,10.672862897935254,77.78317230055347,0.00026135145892985966,0.0,0.3236999359713072
3412.0,46.663541666667044,1.648327800930257,6.678367279392544,10.672472096124197,77.77730984288263,0.0002613317610720856,0.0,0.3239861282084671
3414.0,46.669791666667045,1.6492850776601247,6.678083063536479,10.67208022714505,77.77144102586718,0.0002613120418469137,0.0,0.3242724793145157
3416.0,46.67604166666705,1.6502429147155884,6.677798689995071,10.671687290615065,77.7655658469335,0.00026129230124569656,0.0,0.32455898938892025
3418.0,46.68229166666705,1.6512013123890263,6.677514158669715,10.671293286151187,77.75968430350589,0.0002612725392597798,0.0,0.3248456585311983
3420.0,46.68854166666705,1.6521602709729069,6.677229469461758,10.670898213370053,77.75379639300652,0.0002612527558805019,0.0,0.3251324868409176
3422.0,46.69479166666705,1.6531197907597888,6.6769446222724955,10.670502071887995,77.7479021128555,0.00026123295109919443,0.0,0.32541947441769614
3424.0,46.70104166666705,1.6540798720423215,6.676659617003175,10.670104861321034,77.74200146047073,0.00026121312490718165,0.0,0.3257066213612021
3426.0,46.707291666667054,1.6550405151132448,6.676374453554993,10.669706581284885,77.73609443326811,0.00026119327729578085,0.0,0.325993927771154
3428.0,46.713541666667055,1.6560017202653883,6.676089131829097,10.669307231394955,77.7301810286614,0.0002611734082563023,0.0,0.3262813937473205
3430.0,46.71979166666706,1.656963487791672,6.675803651726586,10.668906811266345,77.72426124406225,0.0002611535177800491,0.0,0.3265690193895207
3432.0,46.72604166666706,1.657925817985106,6.675518013148507,10.668505320513846,77.71833507688017,0.0002611336058583173,0.0,0.3268568047976239
3434.0,46.73229166666706,1.6588887111387902,6.675232215995859,10.668102758751946,77.71240252452262,0.000261113672482396,0.0,0.3271447500715498
3436.0,46.73854166666706,1.6598521675459144,6.67494626016959,10.667699125594819,77.70646358439492,0.0002610937176435669,0.0,0.32743285531126837
3438.0,46.74479166666706,1.660816187499758,6.6746601455706,10.667294420656335,77.7005182539003,0.000261073741333105,0.0,0.3277211206167999
3440.0,46.751041666667064,1.6617807712936903,6.674373872099738,10.666888643550056,77.69456653043987,0.00026105374354227796,0.0,0.32800954608821514
3442.0,46.757291666667065,1.6627459192211702,6.674087439657804,10.666481793889234,77.68860841141266,0.00026103372426234653,0.0,0.32829813182563516
3444.0,46.76354166666707,1.6637116315757459,6.673800848145547,10.666073871286818,77.68264389421556,0.00026101368348456424,0.0,0.32858687792923147
3446.0,46.76979166666707,1.6646779086510548,6.673514097463666,10.665664875355443,77.67667297624334,0.0002609936212001776,0.0,0.32887578449922594
3448.0,46.77604166666707,1.665644750740824,6.673227187512814,10.66525480570744,77.67069565488872,0.0002609735374004261,0.0,0.32916485163589093
3450.0,46.78229166666707,1.6666121581388698,6.67294011819359,10.664843661954832,77.66471192754226,0.000260953432076542,0.0,0.32945407943954924
3452.0,46.78854166666707,1.667580131139097,6.672652889406543,10.664431443709333,77.65872179159244,0.0002609333052197506,0.0,0.3297434680105741
3454.0,46.794791666667074,1.6685486700355001,6.672365501052177,10.664018150582347,77.65272524442565,0.00026091315682127015,0.0,0.3300330174493891
3456.0,46.801041666667075,1.6695177751221622,6.67207795303094,10.663603782184975,77.6467222834261,0.00026089298687231166,0.0,0.3303227278564686
3458.0,46.807291666667076,1.670487446693255,6.671790245243235,10.663188338128005,77.64071290597596,0.0002608727953640792,0.0,0.3306125993323373
3460.0,46.81354166666708,1.6714576850430394,6.6715023775894124,10.662771818021922,77.63469710945529,0.00026085258228776976,0.0,0.3309026319775703
3462.0,46.81979166666708,1.6724284904658646,6.671214349969773,10.662354221476896,77.62867489124201,0.00026083234763457316,0.0,0.3311928258927935
3464.0,46.82604166666708,1.6733998632561682,6.670926162284569,10.661935548102795,77.62264624871194,0.00026081209139567214,0.0,0.33148318117868314
3466.0,46.83229166666708,1.6743718037084765,6.670637814434,10.661515797509177,77.61661117923883,0.00026079181356224244,0.0,0.33177369793596617
3468.0,46.83854166666708,1.675344312117404,6.6703493063182195,10.661094969305289,77.61056968019425,0.00026077151412545263,0.0,0.33206437626542
3470.0,46.844791666667085,1.676317388777654,6.670060637837328,10.660673063100074,77.60452174894772,0.0002607511930764643,0.0,0.3323552162678728
3472.0,46.851041666667086,1.6772910339840166,6.669771808891378,10.660250078502163,77.59846738286662,0.00026073085040643183,0.0,0.3326462180442032
3474.0,46.85729166666709,1.6782652480313711,6.669482819380369,10.659826015119881,77.59240657931625,0.0002607104861065026,0.0,0.3329373816953405
3476.0,46.86354166666709,1.6792400312146845,6.669193669204255,10.659400872561244,77.58633933565979,0.00026069010016781686,0.0,0.3332287073222647
3478.0,46.86979166666709,1.6802153838290113,6.668904358262935,10.65897465043396,77.58026564925828,0.0002606696925815078,0.0,0.3335201950260064
3480.0,46.87604166666709,1.6811913061694939,6.668614886456263,10.658547348345428,77.57418551747071,0.00026064926333870154,0.0,0.3338118449076469
3482.0,46.88229166666709,1.6821677985313626,6.668325253684039,10.658118965902737,77.5680989376539,0.00026062881243051707,0.0,0.33410365706831824
3484.0,46.888541666667095,1.6831448612099347,6.668035459846015,10.657689502712671,77.56200590716261,0.00026060833984806636,0.0,0.33439563160920305
3486.0,46.894791666667096,1.6841224945006155,6.667745504841892,10.657258958381703,77.55590642334947,0.0002605878455824542,0.0,0.33468776863153477
3488.0,46.9010416666671,1.6851006986988974,6.66745538857132,10.656827332515999,77.54980048356501,0.0002605673296247784,0.0,0.3349800682365976
