minutes,volume,vcd,glutamin,glucose,DO,c_O2,oxygen,product
0.0,45.0,0.6,7.0,12.0,80.0,0.0002688,0.0,0.0
2.0,45.0,0.6005019691766001,6.999880801204312,11.999880447913268,79.60102123380696,0.00026745943134559135,0.0,0.001200502229069293
4.0,45.0,0.6010023746058539,6.999761502896342,11.999760796009804,79.20204705267373,0.00026611887809698377,0.0,0.002402006834208243
6.0,45.0,0.601501207499935,6.9996421053875295,11.999641044601947,78.80307854103066,0.000264778343897863,0.0,0.003604510679135995
8.0,45.0,0.6019984590611138,6.999522608991062,11.999521194003787,78.40411678845324,0.00026343783240920286,0.0,0.00480801060998611
10.0,45.0,0.6024941204819227,6.999403014021873,11.999401244531168,78.00516288966455,0.00026209734730927285,0.0,0.006012503455286926
12.0,45.0,0.6029881829453219,6.999283320796646,11.999281196501686,77.60621794453732,0.0002607568922936454,0.0,0.007217986025942244
14.0,45.0,0.6034806376248669,6.999163529633818,11.999161050234699,77.20728305809602,0.0002594164710752026,0.0,0.008424455115212354
16.0,45.0,0.6039714756848786,6.999043640853578,11.999040806051323,76.80835934051872,0.0002580760873841429,0.0,0.009631907498695394
18.0,45.0,0.6044606882806134,6.998923654777869,11.99892046427443,76.40944790713891,0.00025673574496798673,0.0,0.01084033993430905
20.0,45.0,0.604948266558436,6.998803571730394,11.99880002522866,76.01054987844724,0.00025539544759158267,0.0,0.012049749162272598
22.0,45.0,0.6054342016559935,6.9986833920366145,11.998679489240413,75.61166638009293,0.0002540551990371122,0.0,0.013260131905089304
24.0,45.0,0.6059184847023907,6.9985631160237505,11.998558856637857,75.21279854288537,0.0002527150031040948,0.0,0.014471484867529147
26.0,45.0,0.6064011068183676,6.998442744020786,11.998438127750928,74.81394750279533,0.0002513748636093923,0.0,0.015683804736611927
28.0,45.0,0.6068820591164777,6.9983222763584685,11.998317302911332,74.41511440095616,0.0002500347843872127,0.0,0.016897088181590705
30.0,45.0,0.607361332701269,6.998201713369311,11.99819638245254,74.01630038366487,0.00024869476928911395,0.0,0.018111331853935618
32.0,45.0,0.6078389186694652,6.998081055387594,11.998075366709806,73.61750660238302,0.00024735482218400694,0.0,0.01932653238731804
34.0,45.0,0.6083148081101495,6.997960302749366,11.997954256020147,73.21873421373759,0.0002460149469581583,0.0,0.02054268639759512
36.0,45.0,0.6087889921049501,6.9978394557924455,11.997833050722363,72.81998437952159,0.0002446751475151925,0.0,0.02175979048279469
38.0,45.0,0.6092614617282263,6.997718514856424,11.997711751157027,72.42125826669465,0.000243335427776094,0.0,0.02297784122310054
40.0,45.0,0.6097322080472571,6.997597480282665,11.997590357666493,72.0225570473834,0.00024199579167920825,0.0,0.024196835180838063
42.0,45.0,0.6102012221224317,6.997476352414306,11.997468870594892,71.62388189888182,0.00024065624318024293,0.0,0.02541676890046029
44.0,45.0,0.6106684950074399,6.9973551315962625,11.997347290288138,71.22523400365132,0.0002393167862522684,0.0,0.026637638908534295
46.0,45.0,0.6111340177494667,6.997233818175223,11.997225617093928,70.82661454932074,0.00023797742488571768,0.0,0.027859441713728002
48.0,45.0,0.611597781389386,6.997112412499659,11.997103851361741,70.42802472868635,0.00023663816308838615,0.0,0.02908217380679736
50.0,45.0,0.6120597769619577,6.9969909149198175,11.996981993442843,70.02946573971151,0.00023529900488543064,0.0,0.030305831660573913
52.0,45.0,0.6125199954960255,6.996869325787729,11.996860043690283,69.63093878552623,0.00023395995431936813,0.0,0.03153041172995278
54.0,45.0,0.6129784280147172,6.996747645457204,11.9967380024589,69.23244507442679,0.00023262101545007402,0.0,0.03275591045188102
56.0,45.0,0.6134350655356453,6.996625874283839,11.99661587010532,68.83398581987495,0.00023128219235477984,0.0,0.03398232424534638
58.0,45.0,0.6138898990711107,6.996504012625011,11.99649364698796,68.43556224049719,0.00022994348912807054,0.0,0.03520964951136653
60.0,45.0,0.6143429196283072,6.996382060839885,11.996371333467026,68.03717556008375,0.0002286049098818814,0.0,0.03643788263297855
62.0,45.0,0.6147941182095279,6.99626001928941,11.996248929904517,67.6388270075876,0.00022726645874549428,0.0,0.037667019975229
64.0,45.0,0.6152434858123731,6.9961378883363246,11.996126436664223,67.24051781712306,0.00022592813986553348,0.0,0.03889705788516429
66.0,45.0,0.6156910134299604,6.9960156683451515,11.996003854111729,66.84224922796464,0.00022458995740596118,0.0,0.040127992691821525
68.0,45.0,0.6161366920511355,6.995893359682206,11.995881182614411,66.44402248454531,0.00022325191554807227,0.0,0.04135982070621973
70.0,45.0,0.616580512660686,6.995770962715592,11.995758422541446,66.04583883645502,0.00022191401849048885,0.0,0.04259253822135151
72.0,45.0,0.6170224662395555,6.995648477815203,11.9956355742638,65.64769953843869,0.00022057627044915398,0.0,0.043826141512175204
74.0,45.0,0.61746254376506,6.995525905352724,11.99551263815424,65.24960585039442,0.00021923867565732525,0.0,0.04506062683560734
76.0,45.0,0.6179007362111069,6.995403245701633,11.99538961458733,64.8515590373713,0.00021790123836556757,0.0,0.046295990430515646
78.0,45.0,0.6183370345484136,6.995280499237199,11.995266503939432,64.45356036956717,0.0002165639628417457,0.0,0.04753222851771244
80.0,45.0,0.6187714297447299,6.995157666336486,11.995143306588703,64.0556111223262,0.000215226853371016,0.0,0.048769337299948465
82.0,45.0,0.6192039127650606,6.99503474737835,11.995020022915105,63.65771257613629,0.00021388991425581793,0.0,0.050007312961907184
84.0,45.0,0.6196344745718909,6.994911742743442,11.994896653300396,63.259866016626454,0.00021255314981586486,0.0,0.05124615167019951
86.0,45.0,0.6200631061254126,6.994788652814208,11.994773198128135,62.86207273456383,0.00021121656438813447,0.0,0.05248584957335901
88.0,45.0,0.6204897983837524,6.9946654779748885,11.99464965778368,62.46433402585077,0.00020988016232685854,0.0,0.0537264028018375
90.0,45.0,0.6209145423032022,6.99454221861152,11.994526032654194,62.0666511915215,0.00020854394800351225,0.0,0.05496780746800121
92.0,45.0,0.6213373288384506,6.994418875111935,11.994402323128638,61.669025537738996,0.00020720792580680302,0.0,0.056210059666127285
94.0,45.0,0.6217581489428164,6.994295447865762,11.994278529597773,61.271458375791276,0.00020587210014265866,0.0,0.05745315547240085
96.0,45.0,0.6221769935684837,6.994171937264426,11.994154652454169,60.873951022087844,0.00020453647543421517,0.0,0.05869709094491251
98.0,45.0,0.6225938536667387,6.994048343701148,11.99403069209219,60.476504798155915,0.00020320105612180387,0.0,0.059941862123656264
100.0,45.0,0.6230087201882084,6.993924667570947,11.993906648908007,60.07912103063631,0.00020186584666293797,0.0,0.061187465030528014
102.0,45.0,0.623421584083101,6.993800909270638,11.993782523299592,59.68180105127938,0.00020053085153229873,0.0,0.062433895669324446
104.0,45.0,0.6238324363014476,6.993677069198833,11.99365831566672,59.28454619694076,0.00019919607522172095,0.0,0.06368115002574244
106.0,45.0,0.6242412677933463,6.993553147755943,11.993534026410966,58.88735780957679,0.000197861522240178,0.0,0.06492922406737898
108.0,45.0,0.6246480695092076,6.993429145344172,11.99340965593571,58.490237236239906,0.0001965271971137661,0.0,0.06617811374373152
110.0,45.0,0.6250528324000014,6.993305062367524,11.993285204646137,58.09318582907391,0.00019519310438568833,0.0,0.0674278149861988
112.0,45.0,0.6254555474175062,6.993180899231798,11.993160672949225,57.69620494530889,0.00019385924861623787,0.0,0.06867832370808236
114.0,45.0,0.6258562055145598,6.993056656344591,11.993036061253763,57.299295947256155,0.00019252563438278066,0.0,0.06992963580458822
116.0,45.0,0.6262547976453114,6.992932334115295,11.992911369970338,56.902460202302876,0.00019119226627973765,0.0,0.0711817471528294
118.0,45.0,0.6266513147654763,6.992807932955099,11.992786599511339,56.505699082906645,0.00018985914891856632,0.0,0.07243465361182874
120.0,45.0,0.6270457478325913,6.992683453276986,11.992661750290956,56.10901396658979,0.0001885262869277417,0.0,0.07368835102252227
122.0,45.0,0.6274380878062724,6.992558895495736,11.99253682272518,55.712406235933564,0.00018719368495273675,0.0,0.07494283520776314
124.0,45.0,0.6278283256484747,6.992434260027923,11.992411817231801,55.31587727857211,0.00018586134765600227,0.0,0.07619810197232602
126.0,45.0,0.6282164523237527,6.992309547291916,11.99228673423041,54.91942848718633,0.00018452927971694604,0.0,0.07745414710291205
128.0,45.0,0.6286024587995238,6.992184757707878,11.992161574142397,54.523061259497496,0.00018319748583191158,0.0,0.07871096636815432
130.0,45.0,0.6289863360463328,6.992059891697762,11.992036337390951,54.12677699826075,0.0001818659707141561,0.0,0.0799685555186238
132.0,45.0,0.6293680750381179,6.9919349496853185,11.991911024401059,53.73057711125836,0.00018053473909382807,0.0,0.0812269102868359
