minutes,volume,vcd,glutamin,glucose,DO,c_O2,oxygen,product
0.0,45.0,0.5,1.5,7.0,80.0,0.0002688,0.0,0.0
2.0,45.0,0.5002898892031326,1.499874157246228,6.999702041348607,79.708457365815,0.00026782041674913834,0.0,0.00010002899092376909
4.0,45.0,0.5005796571892864,1.4997482419088173,6.9994039101233305,79.41683141169037,0.00026684055354327964,0.0,0.0002001159476001675
6.0,45.0,0.5008693019277668,1.4996222540191695,6.999105606397153,79.12512223585566,0.000265860410712475,0.0,0.00030026084558301897
8.0,45.0,0.5011588213704496,1.4994961936091997,6.998807130244272,78.83332993772405,0.00026487998859075275,0.0,0.00040046366001826844
10.0,45.0,0.501448213451595,1.4993700607113407,6.998508481740109,78.54145461790245,0.0002638992875161522,0.0,0.0005007243656404776
12.0,45.0,0.5017374760876575,1.4992438553585474,6.998209660961325,78.24949637820178,0.00026291830783075796,0.0,0.0006010429367692827
14.0,45.0,0.5020266071770954,1.4991175775843015,6.997910667985824,77.95745532164715,0.00026193704988073437,0.0,0.0007014193473058145
16.0,45.0,0.5023156046001753,1.4989912274226158,6.997611502892769,77.66533155248827,0.00026095551401636056,0.0,0.0008018535707290797
18.0,45.0,0.5026044662187762,1.498864804908039,6.997312165762592,77.37312517621001,0.00025997370059206563,0.0,0.0009023455800923027
20.0,45.0,0.5028931898761891,1.4987383100756604,6.997012656677003,77.080836299543,0.0002589916099664644,0.0,0.0010028953480192282
22.0,45.0,0.5031817733969153,1.498611742961114,6.996712975719003,76.7884650304743,0.0002580092425023936,0.0,0.0011035028467003838
24.0,45.0,0.5034702145864608,1.4984851036005844,6.996413122972894,76.49601147825841,0.0002570265985669482,0.0,0.0012041680478893006
26.0,45.0,0.5037585112311286,1.4983583920308106,6.996113098524291,76.20347575342812,0.0002560436785315185,0.0,0.0013048909228986951
28.0,45.0,0.5040466610978079,1.498231608289091,6.995812902460137,75.91085796780568,0.00025506048277182706,0.0,0.0014056714425966057
30.0,45.0,0.5043346619337606,1.4981047524132884,6.9955125348687055,75.61815823451394,0.00025407701166796685,0.0,0.0015065095774024898
32.0,45.0,0.5046225114664042,1.4979778244418356,6.995211995839623,75.32537666798784,0.00025309326560443913,0.0,0.0016074052972832767
34.0,45.0,0.5049102074030924,1.4978508244137392,6.994911285463872,75.03251338398573,0.00025210924497019206,0.0,0.0017083585717493758
36.0,45.0,0.5051977474308926,1.4977237523685858,6.994610403833811,74.73956849960108,0.0002511249501586596,0.0,0.001809369369850643
38.0,45.0,0.5054851292163596,1.4975966083465462,6.994309351043177,74.44654213327416,0.00025014038156780116,0.0,0.0019104376601723
40.0,45.0,0.5057723504053069,1.4974693923883813,6.994008127187109,74.1534344048039,0.0002491555396001411,0.0,0.0020115634108308087
42.0,45.0,0.5060594086225745,1.497342104535447,6.993706732362151,73.86024543535994,0.0002481704246628094,0.0,0.002112746589469701
44.0,45.0,0.5063463014717933,1.497214744829699,6.99340516666627,73.56697534749472,0.00024718503716758224,0.0,0.0022139871632553595
46.0,45.0,0.5066330265351464,1.4970873133137,6.993103430198866,73.27362426515575,0.0002461993775309233,0.0,0.0023152850988727523
48.0,45.0,0.5069195813731269,1.4969598100306223,6.992801523060788,72.98019231369803,0.00024521344617402534,0.0,0.002416640362521119
50.0,45.0,0.507205963524292,1.496832235024256,6.9924994453543405,72.6866796198966,0.0002442272435228525,0.0,0.0025180529199096083
52.0,45.0,0.5074921705050145,1.4967045883390127,6.992197197183305,72.39308631195922,0.00024324077000818296,0.0,0.002619522736252867
54.0,45.0,0.5077781998092292,1.4965768700199318,6.991894778652948,72.09941251953927,0.00024225402606565193,0.0,0.002721049776266575
56.0,45.0,0.5080640489081776,1.4964490801126862,6.991592189870034,71.80565837374866,0.00024126701213579547,0.0,0.002822634004162936
58.0,45.0,0.5083497152501468,1.496321218663588,6.991289430942844,71.51182400717097,0.00024027972866409448,0.0,0.00292427538364611
60.0,45.0,0.5086351962602069,1.496193285719594,6.990986501981184,71.21790955387486,0.0002392921761010195,0.0,0.0030259738779075977
62.0,45.0,0.5089204893399425,1.4960652813283126,6.9906834030964005,70.9239151494273,0.00023830435490207575,0.0,0.003127729449621569
64.0,45.0,0.5092055918671816,1.4959372055380078,6.990380134401397,70.6298409309074,0.00023731626552784887,0.0,0.00322954206094014
66.0,45.0,0.5094905011957205,1.4958090583976071,6.990076696010644,70.33568703691999,0.00023632790844405117,0.0,0.0033314116734885937
68.0,45.0,0.5097752146550438,1.4956808399567068,6.989773088040197,70.04145360760965,0.0002353392841215684,0.0,0.0034333382483605467
70.0,45.0,0.5100597295500414,1.4955525502655775,6.98946931060771,69.74714078467471,0.00023435039303650702,0.0,0.003535321746113057
72.0,45.0,0.5103440431607206,1.4954241893751719,6.9891653638324485,69.45274871138156,0.00023336123567024205,0.0,0.0036373621267616766
74.0,45.0,0.510628152741914,1.4952957573371295,6.988861247835307,69.15827753257906,0.00023237181250946562,0.0,0.003739459349775448
76.0,45.0,0.5109120555229837,1.4951672542037837,6.988556962738823,68.86372739471307,0.0002313821240462359,0.0,0.0038416133740718367
78.0,45.0,0.5111957487075205,1.4950386800281685,6.988252508667192,68.56909844584128,0.0002303921707780267,0.0,0.003943824158011609
80.0,45.0,0.5114792294730388,1.4949100348640243,6.987947885746283,68.27439083564812,0.00022940195320777764,0.0,0.004046091659393648
82.0,45.0,0.511762494970667,1.4947813187658052,6.987643094103653,67.97960471545981,0.00022841147184394497,0.0,0.004148415835449704
84.0,45.0,0.5120455423248331,1.494652531788685,6.987338133868567,67.6847402382598,0.00022742072720055296,0.0,0.00425079664283909
86.0,45.0,0.5123283686329463,1.4945236739885641,6.98703300517201,67.38979755870413,0.00022642971979724587,0.0,0.004353234037643308
88.0,45.0,0.5126109709650724,1.4943947454220772,6.986727708146701,67.09477683313708,0.00022543845015934058,0.0,0.004455727975360611
90.0,45.0,0.5128933463636056,1.494265746146599,6.986422242927118,66.79967821960713,0.00022444691881787993,0.0,0.004558278410900506
92.0,45.0,0.5131754918429352,1.4941366762202517,6.986116609649504,66.5045018778829,0.00022345512630968654,0.0,0.004660885298578183
94.0,45.0,0.5134574043891064,1.4940075357019122,6.985810808451894,66.20924796946949,0.00022246307317741747,0.0,0.00476354859210888
96.0,45.0,0.5137390809594765,1.493878324651219,6.985504839474123,65.91391665762481,0.00022147075996961939,0.0,0.004866268244602184
98.0,45.0,0.5140205184823661,1.49374904312858,6.98519870285785,65.61850810737636,0.00022047818724078454,0.0,0.004969044208556252
100.0,45.0,0.5143017138567044,1.493619691195179,6.98489239874657,65.32302248553789,0.0002194853555514073,0.0,0.005071876435851974
102.0,45.0,0.5145826639516695,1.4934902689129832,6.984585927285637,65.02745996072665,0.00021849226546804155,0.0,0.0051747648777470566
104.0,45.0,0.5148633656063226,1.493360776344752,6.984279288622276,64.73182070338052,0.00021749891756335852,0.0,0.005277709484870037
106.0,45.0,0.5151438156292373,1.4932312135540433,6.983972482905607,64.4361048857755,0.0002165053124162057,0.0,0.00538071020721422
108.0,45.0,0.5154240107981224,1.4931015806052212,6.983665510286658,64.14031268204351,0.0002155114506116662,0.0,0.005483766994131547
110.0,45.0,0.5157039478594394,1.4929718775634646,6.983358370918386,63.844444268190145,0.0002145173327411189,0.0,0.005586879794326383
112.0,45.0,0.5159836235280137,1.4928421044947746,6.983051064955697,63.548499822112944,0.0002135229594022995,0.0,0.0056900485558492265
114.0,45.0,0.5162630344866398,1.4927122614659825,6.982743592555464,63.25247952361971,0.0002125283311993622,0.0,0.005793273226090346
116.0,45.0,0.5165421773856801,1.492582348544758,6.982435953876545,62.95638355444707,0.00021153344874294213,0.0,0.005896553751773332
118.0,45.0,0.516821048842658,1.4924523657996176,6.9821281490798,62.66021209827938,0.0002105383126502187,0.0,0.00599989007894857
120.0,45.0,0.5170996454418436,1.4923223132999324,6.98182017832812,62.363965340767734,0.0002095429235449796,0.0,0.006103282152986633
122.0,45.0,0.5173779637338336,1.4921921911159368,6.981512041786435,62.06764346954934,0.00020854728205768578,0.0,0.006206729918571586
124.0,45.0,0.5176560002351244,1.4920619993187372,6.981203739621744,61.77124667426701,0.00020755138882553716,0.0,0.006310233319694213
126.0,45.0,0.5179337514276777,1.49193173798032,6.980895272003129,61.47477514658903,0.00020655524449253915,0.0,0.006413792299645148
128.0,45.0,0.5182112137584804,1.4918014071735612,6.980586639101778,61.17822908022919,0.00020555884970957004,0.0,0.006517406801007929
130.0,45.0,0.5184883836390961,1.4916710069722345,6.980277841091009,60.88160867096708,0.00020456220513444937,0.0,0.006621076765651958
132.0,45.0,0.5187652574452101,1.4915405374510207,6.979968878146285,60.58491411666878,0.00020356531143200706,0.0,0.006724802134725366
134.0,45.0,0.5190418315161669,1.4914099986855165,6.97965975044524,60.28814561730758,0.00020256816927415343,0.0,0.006828582848647797
136.0,45.0,0.5193181021545002,1.4912793907522437,6.9793504581677,59.99130337498519,0.00020157077933995025,0.0,0.006932418847103091
